Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521735192616, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -47
1521735192617, 64:f6:9d:21:59:60, 02:00:00:00:00:00, -51
1521735192618, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -51
1521735192620, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -51
1521735192623, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -52
1521735192623, 64:f6:9d:36:85:b6, 02:00:00:00:00:00, -52
1521735192625, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -54
1521735192626, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -56
1521735192627, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -57
1521735192627, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -57
1521735192628, 64:f6:9d:37:a5:72, 02:00:00:00:00:00, -57
1521735192629, 64:f6:9d:21:59:6f, 02:00:00:00:00:00, -64
1521735192631, 64:f6:9d:21:59:6a, 02:00:00:00:00:00, -64
1521735192632, 64:f6:9d:21:59:6b, 02:00:00:00:00:00, -64
1521735192632, 64:f6:9d:36:85:b9, 02:00:00:00:00:00, -64
1521735192633, 64:f6:9d:36:85:bf, 02:00:00:00:00:00, -64
1521735192633, 64:f6:9d:36:85:bb, 02:00:00:00:00:00, -64
1521735192634, 64:f6:9d:36:85:ba, 02:00:00:00:00:00, -64
1521735192635, 64:f6:9d:21:59:6d, 02:00:00:00:00:00, -64
1521735192635, 64:f6:9d:36:85:bd, 02:00:00:00:00:00, -64
1521735192636, 64:f6:9d:36:85:bc, 02:00:00:00:00:00, -64
1521735192637, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -65
1521735192637, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -66
1521735192638, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -66
1521735192639, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -66
1521735192639, 64:f6:9d:3a:8f:f2, 02:00:00:00:00:00, -66
1521735192640, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -67
1521735192640, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -67
1521735192640, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -69
1521735192641, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -69
1521735192641, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -69
1521735192642, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -69
1521735192642, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -70
1521735192642, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -70
1521735192643, 64:f6:9d:48:ab:32, 02:00:00:00:00:00, -70
1521735192643, 64:f6:9d:36:82:13, 02:00:00:00:00:00, -70
1521735192644, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -72
1521735192644, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -72
1521735192644, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -72
1521735192645, 64:f6:9d:37:a5:7d, 02:00:00:00:00:00, -73
1521735192645, 64:f6:9d:37:a5:79, 02:00:00:00:00:00, -73
1521735192645, 64:f6:9d:37:a5:7c, 02:00:00:00:00:00, -73
1521735192646, 64:f6:9d:43:20:64, 02:00:00:00:00:00, -75
1521735192646, 64:f6:9d:43:20:62, 02:00:00:00:00:00, -75
1521735192646, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -76
1521735192647, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -76
1521735192647, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -76
1521735192648, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -76
1521735192648, 64:f6:9d:43:1b:b2, 02:00:00:00:00:00, -76
1521735192648, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -77
1521735192649, 64:f6:9d:3a:94:03, 02:00:00:00:00:00, -77
1521735192650, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -77
1521735192651, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -77
1521735192652, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -77
1521735192652, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -77
1521735192653, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -78
1521735192653, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -78
1521735192654, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -78
1521735192655, 64:f6:9d:3a:8a:b5, 02:00:00:00:00:00, -78
1521735192655, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -78
1521735192656, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -78
1521735192657, 64:f6:9d:3a:8f:f9, 02:00:00:00:00:00, -78
1521735192657, 64:f6:9d:43:20:d2, 02:00:00:00:00:00, -78
1521735192658, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -78
1521735192659, 64:f6:9d:37:a9:92, 02:00:00:00:00:00, -78
1521735192659, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -79
1521735192660, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -79
1521735192660, 64:f6:9d:37:a9:96, 02:00:00:00:00:00, -79
1521735192661, 64:f6:9d:43:20:d6, 02:00:00:00:00:00, -79
1521735192662, 64:f6:9d:48:ab:39, 02:00:00:00:00:00, -81
1521735192662, 64:f6:9d:48:ab:3b, 02:00:00:00:00:00, -81
1521735192663, 64:f6:9d:48:ab:3f, 02:00:00:00:00:00, -82
1521735192663, 64:f6:9d:48:ab:3d, 02:00:00:00:00:00, -82
1521735192664, 64:f6:9d:43:20:6c, 02:00:00:00:00:00, -82
1521735192665, 64:f6:9d:48:ab:3c, 02:00:00:00:00:00, -82
1521735192665, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -83
1521735192666, 64:f6:9d:48:ab:3a, 02:00:00:00:00:00, -83
1521735192667, 64:f6:9d:43:1b:95, 02:00:00:00:00:00, -83
1521735192667, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -84
1521735192668, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -84
1521735192668, 64:f6:9d:37:9d:ea, 02:00:00:00:00:00, -84
1521735192669, 64:f6:9d:43:20:6a, 02:00:00:00:00:00, -84
1521735192670, 64:f6:9d:37:9d:ef, 02:00:00:00:00:00, -85
1521735192671, 64:f6:9d:37:9d:eb, 02:00:00:00:00:00, -85
1521735192672, 64:f6:9d:37:9d:ec, 02:00:00:00:00:00, -85
1521735192673, 64:f6:9d:37:9d:ed, 02:00:00:00:00:00, -85
1521735192673, 64:f6:9d:37:9d:e9, 02:00:00:00:00:00, -85
1521735192674, 64:f6:9d:43:20:6d, 02:00:00:00:00:00, -85
1521735192675, 64:f6:9d:43:20:6f, 02:00:00:00:00:00, -85
1521735192675, 64:f6:9d:43:20:6b, 02:00:00:00:00:00, -85
1521735192676, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -86
1521735192677, 64:f6:9d:3a:94:0a, 02:00:00:00:00:00, -86
1521735192677, 64:f6:9d:43:20:69, 02:00:00:00:00:00, -86
1521735192678, 64:f6:9d:3a:94:0f, 02:00:00:00:00:00, -87
1521735192679, 64:f6:9d:3a:94:0d, 02:00:00:00:00:00, -87
1521735192679, 64:f6:9d:43:1b:9a, 02:00:00:00:00:00, -87
1521735192683, 64:f6:9d:3a:94:09, 02:00:00:00:00:00, -88
1521735192687, 64:f6:9d:3a:94:0c, 02:00:00:00:00:00, -88
1521735192688, 64:f6:9d:43:1b:9f, 02:00:00:00:00:00, -88
1521735192691, 64:f6:9d:37:a7:1f, 02:00:00:00:00:00, -89
1521735192692, 64:f6:9d:37:a7:1a, 02:00:00:00:00:00, -89
1521735192694, 64:f6:9d:37:a7:19, 02:00:00:00:00:00, -89
1521735192695, 64:f6:9d:37:a7:1b, 02:00:00:00:00:00, -90
1521735192696, 64:f6:9d:43:20:db, 02:00:00:00:00:00, -91
1521735192697, 64:f6:9d:43:20:da, 02:00:00:00:00:00, -91
1521735192698, 64:f6:9d:43:20:dc, 02:00:00:00:00:00, -91
1521735192699, 64:f6:9d:43:20:d9, 02:00:00:00:00:00, -93
1521735197053, 64:f6:9d:21:59:60, 02:00:00:00:00:00, -47
1521735197054, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -47
1521735197055, 64:f6:9d:21:59:62, 02:00:00:00:00:00, -47
1521735197057, 64:f6:9d:21:59:66, 02:00:00:00:00:00, -47
1521735197057, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -49
1521735197058, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -50
1521735197059, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -50
1521735197060, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -50
1521735197061, 64:f6:9d:36:85:b3, 02:00:00:00:00:00, -50
1521735197061, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -60
1521735197062, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -60
1521735197062, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -60
1521735197063, 64:f6:9d:37:a5:73, 02:00:00:00:00:00, -60
1521735197063, 64:f6:9d:36:85:bf, 02:00:00:00:00:00, -61
1521735197064, 64:f6:9d:36:85:b9, 02:00:00:00:00:00, -62
1521735197065, 64:f6:9d:36:85:bb, 02:00:00:00:00:00, -62
1521735197065, 64:f6:9d:36:85:ba, 02:00:00:00:00:00, -62
1521735197066, 64:f6:9d:36:85:bd, 02:00:00:00:00:00, -62
1521735197066, 64:f6:9d:36:85:bc, 02:00:00:00:00:00, -62
1521735197067, 64:f6:9d:21:59:6f, 02:00:00:00:00:00, -63
1521735197067, 64:f6:9d:21:59:6a, 02:00:00:00:00:00, -63
1521735197068, 64:f6:9d:21:59:6b, 02:00:00:00:00:00, -63
1521735197071, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -64
1521735197074, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -64
1521735197077, 64:f6:9d:3a:8f:f2, 02:00:00:00:00:00, -64
1521735197081, 64:f6:9d:21:59:6c, 02:00:00:00:00:00, -64
1521735197086, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -65
1521735197088, 64:f6:9d:3a:8f:f6, 02:00:00:00:00:00, -65
1521735197089, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -69
1521735197092, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -69
1521735197097, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -69
1521735197098, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -69
1521735197100, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -69
1521735197101, 64:f6:9d:37:9d:e6, 02:00:00:00:00:00, -69
1521735197103, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -70
1521735197104, 64:f6:9d:48:ab:36, 02:00:00:00:00:00, -70
1521735197106, 64:f6:9d:37:9d:e2, 02:00:00:00:00:00, -70
1521735197107, 64:f6:9d:48:ab:33, 02:00:00:00:00:00, -70
1521735197108, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -72
1521735197109, 64:f6:9d:37:a5:7d, 02:00:00:00:00:00, -72
1521735197112, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -72
1521735197114, 64:f6:9d:37:a5:79, 02:00:00:00:00:00, -72
1521735197115, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -73
1521735197117, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -73
1521735197118, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -73
1521735197121, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -73
1521735197123, 64:f6:9d:37:a5:7c, 02:00:00:00:00:00, -73
1521735197125, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -73
1521735197129, 64:f6:9d:36:82:13, 02:00:00:00:00:00, -73
1521735197131, 64:f6:9d:43:1b:b3, 02:00:00:00:00:00, -73
1521735197132, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -75
1521735197134, 64:f6:9d:43:20:63, 02:00:00:00:00:00, -75
1521735197135, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -76
1521735197136, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -77
1521735197138, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -77
1521735197140, 64:f6:9d:3a:8a:b5, 02:00:00:00:00:00, -77
1521735197141, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -77
1521735197143, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -77
1521735197143, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -77
1521735197145, 64:f6:9d:37:a7:12, 02:00:00:00:00:00, -77
1521735197146, 64:f6:9d:3a:8a:b2, 02:00:00:00:00:00, -77
1521735197147, 64:f6:9d:43:20:d3, 02:00:00:00:00:00, -77
1521735197148, 64:f6:9d:3a:8a:b6, 02:00:00:00:00:00, -77
1521735197150, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -78
1521735197152, 64:f6:9d:37:a7:16, 02:00:00:00:00:00, -78
1521735197153, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -79
1521735197154, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -79
1521735197155, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -79
1521735197157, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -82
1521735197158, 64:f6:9d:3a:8f:fc, 02:00:00:00:00:00, -82
1521735197159, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -83
1521735197161, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -83
1521735197163, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -84
1521735197164, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -84
1521735197166, 64:f6:9d:3a:8f:fd, 02:00:00:00:00:00, -84
1521735197167, 64:f6:9d:3a:8f:f9, 02:00:00:00:00:00, -84
1521735197169, 64:f6:9d:37:9d:ea, 02:00:00:00:00:00, -84
1521735197171, 64:f6:9d:36:82:19, 02:00:00:00:00:00, -84
1521735197173, 64:f6:9d:37:9d:e9, 02:00:00:00:00:00, -84
1521735197175, 64:f6:9d:3a:8a:bb, 02:00:00:00:00:00, -85
1521735197176, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -85
1521735197178, 64:f6:9d:3a:8a:ba, 02:00:00:00:00:00, -85
1521735197181, 64:f6:9d:37:9d:ef, 02:00:00:00:00:00, -85
1521735197183, 64:f6:9d:37:9d:eb, 02:00:00:00:00:00, -85
1521735197185, 64:f6:9d:37:9d:ed, 02:00:00:00:00:00, -85
1521735197187, 64:f6:9d:43:20:6d, 02:00:00:00:00:00, -85
1521735197189, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -86
1521735197191, 64:f6:9d:37:9d:ec, 02:00:00:00:00:00, -86
1521735197194, 64:f6:9d:43:1b:9f, 02:00:00:00:00:00, -86
1521735197197, 64:f6:9d:43:20:69, 02:00:00:00:00:00, -86
1521735197200, 64:f6:9d:43:20:6c, 02:00:00:00:00:00, -86
1521735197203, 64:f6:9d:43:20:6a, 02:00:00:00:00:00, -86
1521735197205, 64:f6:9d:48:ab:3c, 02:00:00:00:00:00, -86
1521735197207, 64:f6:9d:43:20:6b, 02:00:00:00:00:00, -86
1521735197209, 64:f6:9d:43:1b:9b, 02:00:00:00:00:00, -86
1521735197212, 64:f6:9d:3a:8a:bf, 02:00:00:00:00:00, -87
1521735197214, 64:f6:9d:48:ab:39, 02:00:00:00:00:00, -87
1521735197217, 64:f6:9d:48:ab:3f, 02:00:00:00:00:00, -87
1521735197220, 64:f6:9d:48:ab:3b, 02:00:00:00:00:00, -87
1521735197222, 64:f6:9d:48:ab:3a, 02:00:00:00:00:00, -87
1521735197224, 64:f6:9d:36:82:1d, 02:00:00:00:00:00, -87
1521735197226, 64:f6:9d:43:1b:9a, 02:00:00:00:00:00, -87
1521735197228, 64:f6:9d:48:ab:3d, 02:00:00:00:00:00, -87
1521735197230, 64:f6:9d:43:20:6f, 02:00:00:00:00:00, -87
1521735197232, 64:f6:9d:43:1b:99, 02:00:00:00:00:00, -87
1521735197234, 64:f6:9d:3a:94:09, 02:00:00:00:00:00, -88
1521735197236, 64:f6:9d:43:1b:9c, 02:00:00:00:00:00, -88
1521735197238, 64:f6:9d:43:1b:9d, 02:00:00:00:00:00, -88
1521735197241, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -89
1521735197243, 64:f6:9d:3a:94:0a, 02:00:00:00:00:00, -89
1521735197245, 64:f6:9d:37:a7:1a, 02:00:00:00:00:00, -89
